epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2072.98,0.69818,0.57081,1.09784,0.67138,0.73235,0.70949,0.58504,0.9731,0.83231,1.20547,0.007822,0.007822,0.007822
112,2091.49,0.70672,0.58278,1.11511,0.71983,0.69202,0.70197,0.58019,0.9668,0.85369,1.20874,0.0078022,0.0078022,0.0078022
113,2109.95,0.70278,0.58474,1.10888,0.774,0.65987,0.70699,0.58372,0.95319,0.83382,1.20428,0.0077824,0.0077824,0.0077824
114,2128.52,0.7103,0.58645,1.11125,0.75942,0.67783,0.70775,0.5797,0.98023,0.84526,1.22483,0.0077626,0.0077626,0.0077626
115,2147,0.70351,0.57066,1.10343,0.72761,0.71143,0.71691,0.59531,0.96158,0.81861,1.20298,0.0077428,0.0077428,0.0077428
116,2165.55,0.70103,0.57036,1.09821,0.74881,0.68591,0.72312,0.59156,0.97323,0.79793,1.21725,0.007723,0.007723,0.007723
117,2183.94,0.69536,0.57312,1.10817,0.73512,0.70116,0.71496,0.59012,0.96334,0.80256,1.20976,0.0077032,0.0077032,0.0077032
118,2202.48,0.69389,0.56916,1.10191,0.75053,0.68531,0.709,0.58258,0.96681,0.81261,1.21157,0.0076834,0.0076834,0.0076834
119,2221.07,0.69059,0.56101,1.09854,0.73067,0.69767,0.71102,0.58612,0.96452,0.80297,1.20941,0.0076636,0.0076636,0.0076636
120,2239.61,0.69862,0.56771,1.10478,0.68123,0.71971,0.70495,0.57979,0.9742,0.81743,1.21505,0.0076438,0.0076438,0.0076438
121,2258.21,0.68962,0.55976,1.10104,0.67382,0.71282,0.69727,0.57675,0.97532,0.82928,1.21967,0.007624,0.007624,0.007624
122,2276.78,0.69025,0.56946,1.10176,0.66352,0.74058,0.69965,0.57818,0.98192,0.84379,1.22569,0.0076042,0.0076042,0.0076042
123,2295.36,0.69109,0.56028,1.10062,0.71821,0.69556,0.70141,0.57953,0.96309,0.81939,1.211,0.0075844,0.0075844,0.0075844
124,2313.79,0.69094,0.56399,1.09767,0.72924,0.70517,0.70842,0.58641,0.96813,0.82658,1.21771,0.0075646,0.0075646,0.0075646
125,2332.36,0.68714,0.56398,1.09915,0.7176,0.69568,0.70249,0.57901,0.96412,0.84937,1.21234,0.0075448,0.0075448,0.0075448
126,2350.91,0.69606,0.566,1.10081,0.71782,0.69295,0.69831,0.57999,0.96699,0.83729,1.22234,0.007525,0.007525,0.007525
127,2369.42,0.69578,0.56089,1.09883,0.70203,0.68663,0.69828,0.57898,0.96912,0.87013,1.21833,0.0075052,0.0075052,0.0075052
128,2387.93,0.69355,0.56196,1.09568,0.73011,0.66544,0.69462,0.57706,0.97442,0.8697,1.2224,0.0074854,0.0074854,0.0074854
129,2406.41,0.68574,0.55534,1.09406,0.72059,0.6753,0.69342,0.57669,0.9705,0.87259,1.21946,0.0074656,0.0074656,0.0074656
130,2424.95,0.68462,0.55005,1.09469,0.7212,0.67488,0.69895,0.5783,0.95192,0.83833,1.20917,0.0074458,0.0074458,0.0074458
131,2443.47,0.68304,0.55174,1.09425,0.68996,0.70434,0.70408,0.5789,0.96427,0.841,1.21039,0.007426,0.007426,0.007426
132,2461.99,0.67952,0.55321,1.09104,0.71048,0.70091,0.70878,0.58666,0.9723,0.81266,1.21493,0.0074062,0.0074062,0.0074062
133,2480.5,0.67488,0.54732,1.09346,0.7175,0.70587,0.71416,0.58637,0.97591,0.80886,1.21953,0.0073864,0.0073864,0.0073864
134,2499.05,0.68411,0.55037,1.09852,0.71891,0.70256,0.71128,0.58397,0.96687,0.81559,1.21651,0.0073666,0.0073666,0.0073666
135,2517.49,0.68231,0.54313,1.09766,0.74558,0.68482,0.71152,0.58487,0.97029,0.80937,1.21287,0.0073468,0.0073468,0.0073468
136,2535.94,0.68265,0.54372,1.09102,0.7273,0.69654,0.70454,0.58188,0.9699,0.83175,1.21311,0.007327,0.007327,0.007327
137,2554.5,0.67568,0.53804,1.08602,0.7224,0.68596,0.70693,0.58227,0.97726,0.82319,1.21707,0.0073072,0.0073072,0.0073072
138,2573.01,0.67939,0.53417,1.08807,0.74808,0.6669,0.71137,0.58307,0.96931,0.82407,1.21792,0.0072874,0.0072874,0.0072874
139,2591.5,0.68455,0.54562,1.09063,0.6743,0.71789,0.70922,0.58315,0.97467,0.83689,1.22136,0.0072676,0.0072676,0.0072676
140,2610.09,0.68818,0.54558,1.09937,0.69504,0.70544,0.70737,0.57802,0.97704,0.84236,1.22151,0.0072478,0.0072478,0.0072478
141,2628.52,0.67698,0.53707,1.09145,0.70651,0.69019,0.7101,0.58363,0.98425,0.83779,1.22525,0.007228,0.007228,0.007228
142,2647.03,0.66493,0.52639,1.08235,0.71763,0.69376,0.70786,0.58159,0.98901,0.85283,1.22352,0.0072082,0.0072082,0.0072082
143,2665.48,0.68131,0.5363,1.09339,0.6999,0.69537,0.70051,0.57528,0.98901,0.86071,1.2261,0.0071884,0.0071884,0.0071884
144,2683.94,0.67921,0.53972,1.09169,0.70916,0.69934,0.70711,0.58198,0.97692,0.85599,1.21932,0.0071686,0.0071686,0.0071686
145,2702.45,0.67855,0.53826,1.0908,0.70591,0.69285,0.70839,0.58749,0.97585,0.84232,1.21747,0.0071488,0.0071488,0.0071488
146,2721,0.67038,0.53466,1.09251,0.70769,0.6899,0.70519,0.58573,0.97414,0.84328,1.21695,0.007129,0.007129,0.007129
147,2739.57,0.67256,0.53081,1.08554,0.70262,0.69049,0.69994,0.58467,0.96268,0.8383,1.21188,0.0071092,0.0071092,0.0071092
148,2758.04,0.6747,0.53515,1.09254,0.6842,0.70268,0.7053,0.58531,0.96873,0.84012,1.20858,0.0070894,0.0070894,0.0070894
149,2776.59,0.67412,0.52941,1.08051,0.7017,0.69623,0.70499,0.58266,0.97215,0.8282,1.20885,0.0070696,0.0070696,0.0070696
150,2795.12,0.66331,0.52924,1.08095,0.70962,0.69982,0.70889,0.58447,0.97358,0.83323,1.21134,0.0070498,0.0070498,0.0070498
151,2813.65,0.67263,0.53031,1.09051,0.71947,0.70242,0.71336,0.58734,0.97658,0.82707,1.21188,0.00703,0.00703,0.00703
152,2832.24,0.66923,0.52653,1.08682,0.7232,0.70742,0.71654,0.59345,0.96897,0.81761,1.20821,0.0070102,0.0070102,0.0070102
153,2850.86,0.66469,0.52317,1.0811,0.72388,0.7058,0.71195,0.59013,0.96485,0.81745,1.20448,0.0069904,0.0069904,0.0069904
154,2869.42,0.67372,0.53162,1.0866,0.71674,0.70824,0.71246,0.58809,0.96354,0.8268,1.20405,0.0069706,0.0069706,0.0069706
155,2887.88,0.67631,0.52119,1.08458,0.72525,0.6994,0.71033,0.58949,0.96254,0.83295,1.20606,0.0069508,0.0069508,0.0069508
156,2906.55,0.66326,0.52717,1.08064,0.70775,0.70591,0.7119,0.59157,0.95794,0.83202,1.20675,0.006931,0.006931,0.006931
157,2925.04,0.66083,0.51809,1.08247,0.71773,0.70521,0.71226,0.59122,0.95282,0.83486,1.20379,0.0069112,0.0069112,0.0069112
158,2943.57,0.6584,0.51919,1.0831,0.72326,0.68302,0.70929,0.58659,0.95279,0.84689,1.20269,0.0068914,0.0068914,0.0068914
159,2962.08,0.66942,0.52545,1.08002,0.73077,0.68179,0.71088,0.59077,0.95748,0.84564,1.20663,0.0068716,0.0068716,0.0068716
160,2980.67,0.66042,0.51655,1.07551,0.73489,0.67597,0.70942,0.58788,0.95832,0.84711,1.21031,0.0068518,0.0068518,0.0068518
161,2999.14,0.67219,0.52782,1.08549,0.71825,0.68878,0.7087,0.58918,0.95865,0.85055,1.20797,0.006832,0.006832,0.006832
162,3017.59,0.65925,0.51448,1.08029,0.72363,0.68452,0.70926,0.58715,0.96118,0.84986,1.21335,0.0068122,0.0068122,0.0068122
163,3036.05,0.65728,0.51205,1.07559,0.72451,0.67807,0.70803,0.58654,0.96145,0.84932,1.21833,0.0067924,0.0067924,0.0067924
164,3054.88,0.65744,0.51293,1.07396,0.72565,0.68123,0.71086,0.58914,0.96354,0.84667,1.21921,0.0067726,0.0067726,0.0067726
